"Datum";"kWh";"kW";"Status";
"11.06.2023 00:00";0,077;0,308;"VALID";
"11.06.2023 00:15";0,035;0,14;"VALID";
"11.06.2023 00:30";0,035;0,14;"VALID";
"11.06.2023 00:45";0,035;0,14;"VALID";
"11.06.2023 01:00";0,037;0,148;"VALID";
"11.06.2023 01:15";0,037;0,148;"VALID";
"11.06.2023 01:30";0,033;0,132;"VALID";
"11.06.2023 01:45";0,033;0,132;"VALID";
"11.06.2023 02:00";0,037;0,148;"VALID";
"11.06.2023 02:15";0,035;0,14;"VALID";
"11.06.2023 02:30";0,035;0,14;"VALID";
"11.06.2023 02:45";0,035;0,14;"VALID";
"11.06.2023 03:00";0,027;0,108;"VALID";
"11.06.2023 03:15";0,033;0,132;"VALID";
"11.06.2023 03:30";0,035;0,14;"VALID";
"11.06.2023 03:45";0,034;0,136;"VALID";
"11.06.2023 04:00";0,034;0,136;"VALID";
"11.06.2023 04:15";0,035;0,14;"VALID";
"11.06.2023 04:30";0,027;0,108;"VALID";
"11.06.2023 04:45";0,03;0,12;"VALID";
"11.06.2023 05:00";0,035;0,14;"VALID";
"11.06.2023 05:15";0,034;0,136;"VALID";
"11.06.2023 05:30";0,034;0,136;"VALID";
"11.06.2023 05:45";0,035;0,14;"VALID";
"11.06.2023 06:00";0,029;0,116;"VALID";
"11.06.2023 06:15";0,028;0,112;"VALID";
"11.06.2023 06:30";0,034;0,136;"VALID";
"11.06.2023 06:45";0,035;0,14;"VALID";
"11.06.2023 07:00";0,034;0,136;"VALID";
"11.06.2023 07:15";0,031;0,124;"VALID";
"11.06.2023 07:30";0,031;0,124;"VALID";
"11.06.2023 07:45";0,035;0,14;"VALID";
"11.06.2023 08:00";0,034;0,136;"VALID";
"11.06.2023 08:15";0,033;0,132;"VALID";
"11.06.2023 08:30";0,029;0,116;"VALID";
"11.06.2023 08:45";0,034;0,136;"VALID";
"11.06.2023 09:00";0,034;0,136;"VALID";
"11.06.2023 09:15";0,035;0,14;"VALID";
"11.06.2023 09:30";0,087;0,348;"VALID";
"11.06.2023 09:45";0,078;0,312;"VALID";
"11.06.2023 10:00";0,075;0,3;"VALID";
"11.06.2023 10:15";0,077;0,308;"VALID";
"11.06.2023 10:30";0,107;0,428;"VALID";
"11.06.2023 10:45";0,1;0,4;"VALID";
"11.06.2023 11:00";0,101;0,404;"VALID";
"11.06.2023 11:15";0,102;0,408;"VALID";
"11.06.2023 11:30";0,091;0,364;"VALID";
"11.06.2023 11:45";0,035;0,14;"VALID";
"11.06.2023 12:00";0,034;0,136;"VALID";
"11.06.2023 12:15";0,028;0,112;"VALID";
"11.06.2023 12:30";0,029;0,116;"VALID";
"11.06.2023 12:45";0,035;0,14;"VALID";
"11.06.2023 13:00";0,034;0,136;"VALID";
"11.06.2023 13:15";0,034;0,136;"VALID";
"11.06.2023 13:30";0,079;0,316;"VALID";
"11.06.2023 13:45";0,079;0,316;"VALID";
"11.06.2023 14:00";0,076;0,304;"VALID";
"11.06.2023 14:15";0,084;0,336;"VALID";
"11.06.2023 14:30";0,089;0,356;"VALID";
"11.06.2023 14:45";0,12;0,48;"VALID";
"11.06.2023 15:00";0,135;0,54;"VALID";
"11.06.2023 15:15";0,129;0,516;"VALID";
"11.06.2023 15:30";0,125;0,5;"VALID";
"11.06.2023 15:45";0,136;0,544;"VALID";
"11.06.2023 16:00";0,136;0,544;"VALID";
"11.06.2023 16:15";0,131;0,524;"VALID";
"11.06.2023 16:30";0,129;0,516;"VALID";
"11.06.2023 16:45";0,136;0,544;"VALID";
"11.06.2023 17:00";0,126;0,504;"VALID";
"11.06.2023 17:15";0,131;0,524;"VALID";
"11.06.2023 17:30";0,137;0,548;"VALID";
"11.06.2023 17:45";0,136;0,544;"VALID";
"11.06.2023 18:00";0,123;0,492;"VALID";
"11.06.2023 18:15";0,119;0,476;"VALID";
"11.06.2023 18:30";0,095;0,38;"VALID";
"11.06.2023 18:45";0,084;0,336;"VALID";
"11.06.2023 19:00";0,082;0,328;"VALID";
"11.06.2023 19:15";0,086;0,344;"VALID";
"11.06.2023 19:30";0,083;0,332;"VALID";
"11.06.2023 19:45";0,097;0,388;"VALID";
"11.06.2023 20:00";0,132;0,528;"VALID";
"11.06.2023 20:15";0,115;0,46;"VALID";
"11.06.2023 20:30";0,11;0,44;"VALID";
"11.06.2023 20:45";0,111;0,444;"VALID";
"11.06.2023 21:00";0,112;0,448;"VALID";
"11.06.2023 21:15";0,112;0,448;"VALID";
"11.06.2023 21:30";0,109;0,436;"VALID";
"11.06.2023 21:45";0,105;0,42;"VALID";
"11.06.2023 22:00";0,108;0,432;"VALID";
"11.06.2023 22:15";0,133;0,532;"VALID";
"11.06.2023 22:30";0,127;0,508;"VALID";
"11.06.2023 22:45";0,106;0,424;"VALID";
"11.06.2023 23:00";0,161;0,644;"VALID";
"11.06.2023 23:15";0,07;0,28;"VALID";
"11.06.2023 23:30";0,044;0,176;"VALID";
"11.06.2023 23:45";0,12;0,48;"VALID";
"12.06.2023 00:00";0,037;0,148;"VALID";
"12.06.2023 00:15";0,039;0,156;"VALID";
"12.06.2023 00:30";0,034;0,136;"VALID";
"12.06.2023 00:45";0,03;0,12;"VALID";
"12.06.2023 01:00";0,037;0,148;"VALID";
"12.06.2023 01:15";0,036;0,144;"VALID";
"12.06.2023 01:30";0,035;0,14;"VALID";
"12.06.2023 01:45";0,036;0,144;"VALID";
"12.06.2023 02:00";0,035;0,14;"VALID";
"12.06.2023 02:15";0,03;0,12;"VALID";
"12.06.2023 02:30";0,031;0,124;"VALID";
"12.06.2023 02:45";0,038;0,152;"VALID";
"12.06.2023 03:00";0,034;0,136;"VALID";
"12.06.2023 03:15";0,034;0,136;"VALID";
"12.06.2023 03:30";0,031;0,124;"VALID";
"12.06.2023 03:45";0,027;0,108;"VALID";
"12.06.2023 04:00";0,034;0,136;"VALID";
"12.06.2023 04:15";0,035;0,14;"VALID";
"12.06.2023 04:30";0,034;0,136;"VALID";
"12.06.2023 04:45";0,033;0,132;"VALID";
"12.06.2023 05:00";0,03;0,12;"VALID";
"12.06.2023 05:15";0,034;0,136;"VALID";
"12.06.2023 05:30";0,034;0,136;"VALID";
"12.06.2023 05:45";0,035;0,14;"VALID";
"12.06.2023 06:00";0,027;0,108;"VALID";
"12.06.2023 06:15";0,034;0,136;"VALID";
"12.06.2023 06:30";0,034;0,136;"VALID";
"12.06.2023 06:45";0,035;0,14;"VALID";
"12.06.2023 07:00";0,028;0,112;"VALID";
"12.06.2023 07:15";0,034;0,136;"VALID";
"12.06.2023 07:30";0,034;0,136;"VALID";
"12.06.2023 07:45";0,058;0,232;"VALID";
"12.06.2023 08:00";0,032;0,128;"VALID";
"12.06.2023 08:15";0,031;0,124;"VALID";
"12.06.2023 08:30";0,035;0,14;"VALID";
"12.06.2023 08:45";0,034;0,136;"VALID";
"12.06.2023 09:00";0,033;0,132;"VALID";
"12.06.2023 09:15";0,028;0,112;"VALID";
"12.06.2023 09:30";0,035;0,14;"VALID";
"12.06.2023 09:45";0,034;0,136;"VALID";
"12.06.2023 10:00";0,035;0,14;"VALID";
"12.06.2023 10:15";0,027;0,108;"VALID";
"12.06.2023 10:30";0,035;0,14;"VALID";
"12.06.2023 10:45";0,035;0,14;"VALID";
"12.06.2023 11:00";0,034;0,136;"VALID";
"12.06.2023 11:15";0,028;0,112;"VALID";
"12.06.2023 11:30";0,034;0,136;"VALID";
"12.06.2023 11:45";0,035;0,14;"VALID";
"12.06.2023 12:00";0,034;0,136;"VALID";
"12.06.2023 12:15";0,029;0,116;"VALID";
"12.06.2023 12:30";0,033;0,132;"VALID";
"12.06.2023 12:45";0,034;0,136;"VALID";
"12.06.2023 13:00";0,034;0,136;"VALID";
"12.06.2023 13:15";0,031;0,124;"VALID";
"12.06.2023 13:30";0,032;0,128;"VALID";
"12.06.2023 13:45";0,035;0,14;"VALID";
"12.06.2023 14:00";0,034;0,136;"VALID";
"12.06.2023 14:15";0,032;0,128;"VALID";
"12.06.2023 14:30";0,03;0,12;"VALID";
"12.06.2023 14:45";0,034;0,136;"VALID";
"12.06.2023 15:00";0,034;0,136;"VALID";
"12.06.2023 15:15";0,034;0,136;"VALID";
"12.06.2023 15:30";0,028;0,112;"VALID";
"12.06.2023 15:45";0,035;0,14;"VALID";
"12.06.2023 16:00";0,034;0,136;"VALID";
"12.06.2023 16:15";0,034;0,136;"VALID";
"12.06.2023 16:30";0,028;0,112;"VALID";
"12.06.2023 16:45";0,035;0,14;"VALID";
"12.06.2023 17:00";0,034;0,136;"VALID";
"12.06.2023 17:15";0,034;0,136;"VALID";
"12.06.2023 17:30";0,027;0,108;"VALID";
"12.06.2023 17:45";0,035;0,14;"VALID";
"12.06.2023 18:00";0,066;0,264;"VALID";
"12.06.2023 18:15";0,166;0,664;"VALID";
"12.06.2023 18:30";0,075;0,3;"VALID";
"12.06.2023 18:45";0,069;0,276;"VALID";
"12.06.2023 19:00";0,071;0,284;"VALID";
"12.06.2023 19:15";0,071;0,284;"VALID";
"12.06.2023 19:30";0,069;0,276;"VALID";
"12.06.2023 19:45";0,066;0,264;"VALID";
"12.06.2023 20:00";0,041;0,164;"VALID";
"12.06.2023 20:15";0,082;0,328;"VALID";
"12.06.2023 20:30";0,103;0,412;"VALID";
"12.06.2023 20:45";0,095;0,38;"VALID";
"12.06.2023 21:00";0,102;0,408;"VALID";
"12.06.2023 21:15";0,102;0,408;"VALID";
"12.06.2023 21:30";0,1;0,4;"VALID";
"12.06.2023 21:45";0,096;0,384;"VALID";
"12.06.2023 22:00";0,107;0,428;"VALID";
"12.06.2023 22:15";0,12;0,48;"VALID";
"12.06.2023 22:30";0,126;0,504;"VALID";
"12.06.2023 22:45";0,15;0,6;"VALID";
"12.06.2023 23:00";0,139;0,556;"VALID";
"12.06.2023 23:15";0,13;0,52;"VALID";
"12.06.2023 23:30";0,131;0,524;"VALID";
"12.06.2023 23:45";0,13;0,52;"VALID";
"13.06.2023 00:00";0,065;0,26;"VALID";
"13.06.2023 00:15";0,031;0,124;"VALID";
"13.06.2023 00:30";0,029;0,116;"VALID";
"13.06.2023 00:45";0,036;0,144;"VALID";
"13.06.2023 01:00";0,037;0,148;"VALID";
"13.06.2023 01:15";0,036;0,144;"VALID";
"13.06.2023 01:30";0,036;0,144;"VALID";
"13.06.2023 01:45";0,029;0,116;"VALID";
"13.06.2023 02:00";0,031;0,124;"VALID";
"13.06.2023 02:15";0,035;0,14;"VALID";
"13.06.2023 02:30";0,034;0,136;"VALID";
"13.06.2023 02:45";0,035;0,14;"VALID";
"13.06.2023 03:00";0,029;0,116;"VALID";
"13.06.2023 03:15";0,033;0,132;"VALID";
"13.06.2023 03:30";0,035;0,14;"VALID";
"13.06.2023 03:45";0,034;0,136;"VALID";
"13.06.2023 04:00";0,031;0,124;"VALID";
"13.06.2023 04:15";0,03;0,12;"VALID";
"13.06.2023 04:30";0,035;0,14;"VALID";
"13.06.2023 04:45";0,034;0,136;"VALID";
"13.06.2023 05:00";0,033;0,132;"VALID";
"13.06.2023 05:15";0,028;0,112;"VALID";
"13.06.2023 05:30";0,034;0,136;"VALID";
"13.06.2023 05:45";0,035;0,14;"VALID";
"13.06.2023 06:00";0,034;0,136;"VALID";
"13.06.2023 06:15";0,026;0,104;"VALID";
"13.06.2023 06:30";0,035;0,14;"VALID";
"13.06.2023 06:45";0,034;0,136;"VALID";
"13.06.2023 07:00";0,034;0,136;"VALID";
"13.06.2023 07:15";0,028;0,112;"VALID";
"13.06.2023 07:30";0,033;0,132;"VALID";
"13.06.2023 07:45";0,034;0,136;"VALID";
"13.06.2023 08:00";0,039;0,156;"VALID";
"13.06.2023 08:15";0,1;0,4;"VALID";
"13.06.2023 08:30";0,104;0,416;"VALID";
"13.06.2023 08:45";0,106;0,424;"VALID";
"13.06.2023 09:00";0,106;0,424;"VALID";
"13.06.2023 09:15";0,111;0,444;"VALID";
"13.06.2023 09:30";0,105;0,42;"VALID";
"13.06.2023 09:45";0,094;0,376;"VALID";
"13.06.2023 10:00";0,075;0,3;"VALID";
"13.06.2023 10:15";0,074;0,296;"VALID";
"13.06.2023 10:30";0,075;0,3;"VALID";
"13.06.2023 10:45";0,075;0,3;"VALID";
"13.06.2023 11:00";0,073;0,292;"VALID";
"13.06.2023 11:15";0,068;0,272;"VALID";
"13.06.2023 11:30";0,076;0,304;"VALID";
"13.06.2023 11:45";0,083;0,332;"VALID";
"13.06.2023 12:00";0,118;0,472;"VALID";
"13.06.2023 12:15";0,121;0,484;"VALID";
"13.06.2023 12:30";0,119;0,476;"VALID";
"13.06.2023 12:45";0,116;0,464;"VALID";
"13.06.2023 13:00";0,124;0,496;"VALID";
"13.06.2023 13:15";0,118;0,472;"VALID";
"13.06.2023 13:30";0,119;0,476;"VALID";
"13.06.2023 13:45";0,126;0,504;"VALID";
"13.06.2023 14:00";0,128;0,512;"VALID";
"13.06.2023 14:15";0,117;0,468;"VALID";
"13.06.2023 14:30";0,121;0,484;"VALID";
"13.06.2023 14:45";0,117;0,468;"VALID";
"13.06.2023 15:00";0,119;0,476;"VALID";
"13.06.2023 15:15";0,123;0,492;"VALID";
"13.06.2023 15:30";0,127;0,508;"VALID";
"13.06.2023 15:45";0,118;0,472;"VALID";
"13.06.2023 16:00";0,121;0,484;"VALID";
"13.06.2023 16:15";0,125;0,5;"VALID";
"13.06.2023 16:30";0,128;0,512;"VALID";
"13.06.2023 16:45";0,127;0,508;"VALID";
"13.06.2023 17:00";0,103;0,412;"VALID";
"13.06.2023 17:15";0,224;0,896;"VALID";
"13.06.2023 17:30";0,108;0,432;"VALID";
"13.06.2023 17:45";0,091;0,364;"VALID";
"13.06.2023 18:00";0,076;0,304;"VALID";
"13.06.2023 18:15";0,071;0,284;"VALID";
"13.06.2023 18:30";0,11;0,44;"VALID";
"13.06.2023 18:45";0,45;1,8;"VALID";
"13.06.2023 19:00";0,219;0,876;"VALID";
"13.06.2023 19:15";0,094;0,376;"VALID";
"13.06.2023 19:30";0,132;0,528;"VALID";
"13.06.2023 19:45";0,135;0,54;"VALID";
"13.06.2023 20:00";0,135;0,54;"VALID";
"13.06.2023 20:15";0,362;1,448;"VALID";
"13.06.2023 20:30";0,349;1,396;"VALID";
"13.06.2023 20:45";0,123;0,492;"VALID";
"13.06.2023 21:00";0,128;0,512;"VALID";
"13.06.2023 21:15";0,127;0,508;"VALID";
"13.06.2023 21:30";0,128;0,512;"VALID";
"13.06.2023 21:45";0,126;0,504;"VALID";
"13.06.2023 22:00";0,121;0,484;"VALID";
"13.06.2023 22:15";0,118;0,472;"VALID";
"13.06.2023 22:30";0,125;0,5;"VALID";
"13.06.2023 22:45";0,121;0,484;"VALID";
"13.06.2023 23:00";0,12;0,48;"VALID";
"13.06.2023 23:15";0,102;0,408;"VALID";
"13.06.2023 23:30";0,074;0,296;"VALID";
"13.06.2023 23:45";0,049;0,196;"VALID";
"14.06.2023 00:00";0,104;0,416;"VALID";
"14.06.2023 00:15";0,035;0,14;"VALID";
"14.06.2023 00:30";0,035;0,14;"VALID";
"14.06.2023 00:45";0,037;0,148;"VALID";
"14.06.2023 01:00";0,037;0,148;"VALID";
"14.06.2023 01:15";0,03;0,12;"VALID";
"14.06.2023 01:30";0,037;0,148;"VALID";
"14.06.2023 01:45";0,039;0,156;"VALID";
"14.06.2023 02:00";0,038;0,152;"VALID";
"14.06.2023 02:15";0,038;0,152;"VALID";
"14.06.2023 02:30";0,038;0,152;"VALID";
"14.06.2023 02:45";0,028;0,112;"VALID";
"14.06.2023 03:00";0,034;0,136;"VALID";
"14.06.2023 03:15";0,04;0,16;"VALID";
"14.06.2023 03:30";0,037;0,148;"VALID";
"14.06.2023 03:45";0,036;0,144;"VALID";
"14.06.2023 04:00";0,032;0,128;"VALID";
"14.06.2023 04:15";0,036;0,144;"VALID";
"14.06.2023 04:30";0,037;0,148;"VALID";
"14.06.2023 04:45";0,036;0,144;"VALID";
"14.06.2023 05:00";0,049;0,196;"VALID";
"14.06.2023 05:15";0,057;0,228;"VALID";
"14.06.2023 05:30";0,038;0,152;"VALID";
"14.06.2023 05:45";0,039;0,156;"VALID";
"14.06.2023 06:00";0,037;0,148;"VALID";
"14.06.2023 06:15";0,038;0,152;"VALID";
"14.06.2023 06:30";0,033;0,132;"VALID";
"14.06.2023 06:45";0,027;0,108;"VALID";
"14.06.2023 07:00";0,035;0,14;"VALID";
"14.06.2023 07:15";0,035;0,14;"VALID";
"14.06.2023 07:30";0,049;0,196;"VALID";
"14.06.2023 07:45";0,059;0,236;"VALID";
"14.06.2023 08:00";0,035;0,14;"VALID";
"14.06.2023 08:15";0,031;0,124;"VALID";
"14.06.2023 08:30";0,03;0,12;"VALID";
"14.06.2023 08:45";0,035;0,14;"VALID";
"14.06.2023 09:00";0,034;0,136;"VALID";
"14.06.2023 09:15";0,034;0,136;"VALID";
"14.06.2023 09:30";0,032;0,128;"VALID";
"14.06.2023 09:45";0,026;0,104;"VALID";
"14.06.2023 10:00";0,034;0,136;"VALID";
"14.06.2023 10:15";0,034;0,136;"VALID";
"14.06.2023 10:30";0,035;0,14;"VALID";
"14.06.2023 10:45";0,034;0,136;"VALID";
"14.06.2023 11:00";0,034;0,136;"VALID";
"14.06.2023 11:15";0,025;0,1;"VALID";
