"Datum";"kWh";"kW";"Status";
"01.01.2024 00:00";0,095;0,38;"VALID";
"01.01.2024 00:15";0,103;0,412;"VALID";
"01.01.2024 00:30";0,112;0,448;"VALID";
"01.01.2024 00:45";0,099;0,396;"VALID";
"01.01.2024 01:00";0,035;0,14;"VALID";
"01.01.2024 01:15";0,03;0,12;"VALID";
"01.01.2024 01:30";0,033;0,132;"VALID";
"01.01.2024 01:45";0,035;0,14;"VALID";
"01.01.2024 02:00";0,026;0,104;"VALID";
"01.01.2024 02:15";0,031;0,124;"VALID";
"01.01.2024 02:30";0,034;0,136;"VALID";
"01.01.2024 02:45";0,033;0,132;"VALID";
"01.01.2024 03:00";0,026;0,104;"VALID";
"01.01.2024 03:15";0,031;0,124;"VALID";
"01.01.2024 03:30";0,034;0,136;"VALID";
"01.01.2024 03:45";0,036;0,144;"VALID";
"01.01.2024 04:00";0,026;0,104;"VALID";
"01.01.2024 04:15";0,03;0,12;"VALID";
"01.01.2024 04:30";0,033;0,132;"VALID";
"01.01.2024 04:45";0,032;0,128;"VALID";
"01.01.2024 05:00";0,025;0,1;"VALID";
"01.01.2024 05:15";0,029;0,116;"VALID";
"01.01.2024 05:30";0,033;0,132;"VALID";
"01.01.2024 05:45";0,031;0,124;"VALID";
"01.01.2024 06:00";0,025;0,1;"VALID";
"01.01.2024 06:15";0,029;0,116;"VALID";
"01.01.2024 06:30";0,033;0,132;"VALID";
"01.01.2024 06:45";0,032;0,128;"VALID";
"01.01.2024 07:00";0,025;0,1;"VALID";
"01.01.2024 07:15";0,028;0,112;"VALID";
"01.01.2024 07:30";0,033;0,132;"VALID";
"01.01.2024 07:45";0,032;0,128;"VALID";
"01.01.2024 08:00";0,025;0,1;"VALID";
"01.01.2024 08:15";0,029;0,116;"VALID";
"01.01.2024 08:30";0,033;0,132;"VALID";
"01.01.2024 08:45";0,031;0,124;"VALID";
"01.01.2024 09:00";0,025;0,1;"VALID";
"01.01.2024 09:15";0,029;0,116;"VALID";
"01.01.2024 09:30";0,033;0,132;"VALID";
"01.01.2024 09:45";0,031;0,124;"VALID";
"01.01.2024 10:00";0,025;0,1;"VALID";
"01.01.2024 10:15";0,03;0,12;"VALID";
"01.01.2024 10:30";0,032;0,128;"VALID";
"01.01.2024 10:45";0,032;0,128;"VALID";
"01.01.2024 11:00";0,025;0,1;"VALID";
"01.01.2024 11:15";0,029;0,116;"VALID";
"01.01.2024 11:30";0,033;0,132;"VALID";
"01.01.2024 11:45";0,031;0,124;"VALID";
"01.01.2024 12:00";0,107;0,428;"VALID";
"01.01.2024 12:15";0,087;0,348;"VALID";
"01.01.2024 12:30";0,071;0,284;"VALID";
"01.01.2024 12:45";0,087;0,348;"VALID";
"01.01.2024 13:00";0,077;0,308;"VALID";
"01.01.2024 13:15";0,082;0,328;"VALID";
"01.01.2024 13:30";0,083;0,332;"VALID";
"01.01.2024 13:45";0,126;0,504;"VALID";
"01.01.2024 14:00";0,117;0,468;"VALID";
"01.01.2024 14:15";0,082;0,328;"VALID";
"01.01.2024 14:30";0,126;0,504;"VALID";
"01.01.2024 14:45";0,124;0,496;"VALID";
"01.01.2024 15:00";0,113;0,452;"VALID";
